solution_id,binder_kg_m3,slag_fraction,effective_water_binder_ratio,pasta_kg_m3,carbon_kgCO2e_m3,cost_CNY_m3,strength_MPa,slump_mm,effective_water_kg_m3,absorbed_water_kg_m3,absolute_volume_m3,total_mass_kg_m3,constraint_violation,feasible,cement_kg_m3,slag_kg_m3,water_kg_m3,sand_kg_m3,coarse_kg_m3,compromise_distance,selected_roles,data_status,seed
S001,300.01357670684786,0.5499554868576716,0.4990364614337889,0.009590919896927369,144.71764866013152,278.15399808380226,40.00753216313079,216.2188112264102,149.71771370187994,0.007672735917541896,1.0,2404.599168039859,0.0,True,135.01946406512195,164.9941126417259,149.72538643779748,928.850613975317,1026.0,0.5773502691896257,minimum_carbon;minimum_cost,synthetic,42
S002,300.01357670684786,0.549335454010151,0.4954915552994652,0.009590919896927369,144.8690890424568,278.4418113295291,40.44532155620005,213.42008828980246,148.65419373343144,0.007672735917541896,1.0,2406.367466639728,0.0,True,135.2054823373823,164.80809436946555,148.66186646934898,931.6824325436345,1026.0,0.5705070975758073,,synthetic,42
S003,300.00925603049245,0.5486900877728261,0.4846635368649948,0.009277801093054011,145.05240295364192,279.24282714063435,41.75770995869541,204.79643312703595,145.40354711997423,0.007422240874443209,1.0,2411.745276355605,0.0,True,135.39715100646129,164.61210502403117,145.41096936084867,940.3157731631705,1026.0,0.5500192442753079,,synthetic,42
S004,300.00925603049245,0.5486900877728261,0.478383319722885,0.005499983559296241,145.07640642776042,279.68580351198716,42.515115508115564,199.77792613964874,143.51942384745993,0.004399986847436993,1.0,2414.8627043727633,0.0,True,135.39715100646129,164.61210502403117,143.52382383430736,945.3241245244044,1026.0,0.5382125441539997,,synthetic,42
S005,304.4628936019415,0.5489002330315719,0.46156512987266807,0.0005290967889341322,147.06940578176847,281.7601811743853,44.734480861548526,186.76358563125092,140.52945502678847,0.00042327743114730574,1.0,2420.332565046336,0.0,True,137.34314035436915,167.11975324757236,140.5298783042196,949.3392640433865,1026.0,0.5038926718118405,,synthetic,42
S006,306.3980195345547,0.5405443307406823,0.47822319164843147,0.02205771592418969,149.75892341881007,281.4777234434096,42.96816895422039,200.7526088538734,146.52663881657318,0.01764617273935175,1.0,2410.803868407957,0.0,True,140.77630712497833,165.62171240957636,146.54428498931253,931.8395061681655,1026.0,0.5315203547666707,,synthetic,42
S007,313.1752938699194,0.5486543111594534,0.4515501292286776,5.017435260033895e-05,151.03039890843473,284.27761150289996,46.333736319087876,179.6382988388379,141.4143444181912,4.0139482080271166e-05,1.0,2419.91527354995,0.0,True,141.35031873955938,171.82497513036003,141.4143845576733,939.3255449480047,1026.0,0.4799383196171805,,synthetic,42
S008,318.8336966345604,0.5488477125735781,0.4417475849021582,0.2479439448365424,153.55586551886344,286.0828074084101,47.51106367799469,171.9786589135131,140.84401547374443,0.1983551558692339,1.0,2420.9589222064833,0.0,True,143.8425515453038,174.9911450892566,141.04237062961366,934.8349109974728,1026.0,0.46270917932394834,,synthetic,42
S009,319.8164759926344,0.5414897977381896,0.4381615555641465,0.0001807541011715815,155.7291879181382,287.1169041070128,48.38237804212585,170.02123305513754,140.1312846159762,0.00014460328093726522,1.0,2422.9881007247805,0.0,True,146.63911709404223,173.1773588985922,140.13142921925714,937.0400147587875,1026.0,0.45005206998036557,,synthetic,42
S010,301.83102888012957,0.5029624309916927,0.4661662383082255,0.0001750838056028079,156.14981478823057,283.76477530422807,44.98302399805969,192.9380850493834,140.7034353377514,0.00014006704448224632,1.0,2420.738886750626,0.0,True,150.0213608458558,151.80966803427376,140.70357540479586,952.2041073818949,1026.0,0.5012466350230375,,synthetic,42
S011,330.174628354957,0.5440685539885192,0.42872124096541486,0.31588954148436105,159.8175594013561,289.7480756921355,49.61105515279597,162.8765080562899,141.5528764036318,0.25271163318748885,1.0,2421.097353850775,0.0,True,150.53699574217882,179.6376326127782,141.8055880368193,922.8012479175143,1026.0,0.43370089436999315,,synthetic,42
S012,332.13058785235893,0.5440685539885192,0.42863430607926856,0.31588954148436105,160.69313598118097,290.1683084233116,49.7095055165166,163.00255609711303,142.3625640517954,0.25271163318748885,1.0,2419.994661473727,0.0,True,151.42877918416917,180.70180866818976,142.6152756849829,918.9329083949007,1026.0,0.43272337910064534,,synthetic,42
S013,330.9210905023152,0.537943537558438,0.42324744807785475,0.026174878297139964,161.65243543072708,290.83739856908085,50.716689120068104,159.37419294156334,140.06150707024574,0.020939902637711973,1.0,2424.4555507183422,0.0,True,152.90422842480373,178.0168620775115,140.08244697288345,927.4258383648464,1026.0,0.4180887082827256,,synthetic,42
S014,340.41411717435614,0.5499611840089828,0.40987121602946025,0.6543790661694838,163.0239627509832,292.9000291941677,51.86764024409443,147.95914490121064,139.52594815984853,0.5235032529355871,1.0,2424.7448392564725,0.0,True,153.19956623977464,187.2145509345815,140.04945141278412,917.6268916031629,1026.0,0.4031050600559402,,synthetic,42
S015,340.94431046744523,0.5496134975530818,0.4112384650722627,0.024405751462645564,163.29045383071195,293.1206512845535,52.3771845906181,150.0717846241758,140.20941491175316,0.01952460117011645,1.0,2425.1269328102617,0.0,True,153.5567155206089,187.38759494683634,140.22893951292326,917.9292770784301,1026.0,0.3957012520362108,,synthetic,42
S016,347.0747737200111,0.5499554324004409,0.403868810372803,0.003892427401291809,165.9532700531517,295.0161966954192,53.551106042724314,144.7993610851151,140.17267597271066,0.0031139419210334477,1.0,2425.9545069665533,0.0,True,156.19911646353722,190.87565725647386,140.1757899146317,912.7000509045092,1026.0,0.38125972297333166,,synthetic,42
S017,347.0747737200111,0.5498143649761215,0.403868810372803,0.003892427401291809,165.98951890602618,295.02630845696063,53.5539273912107,144.80782513057426,140.17267597271066,0.0031139419210334477,1.0,2425.958057773959,0.0,True,156.24807740791215,190.82669631209893,140.1757899146317,912.7036017119146,1026.0,0.38124238367163804,,synthetic,42
S018,353.5137699077923,0.5436572907396813,0.39778753509904896,0.606217632780276,170.532672192765,297.18769801650984,54.083226991842075,140.05264117646712,140.62337115519307,0.48497410622422077,1.0,2424.7624917025396,0.0,True,161.32343152055088,192.19033838724144,141.1083452614173,903.5341589005496,1026.0,0.3781716973435492,,synthetic,42
S019,362.92943378388395,0.5499229243629579,0.39638590726184836,0.016290542008472242,173.02825906277826,299.07627946750176,55.15075865813258,140.3818579130769,143.86011288245376,0.013032433606777794,1.0,2421.727043803511,0.0,True,163.346218220058,199.58321556382595,143.87314531606054,888.9081741615585,1026.0,0.3668129642370415,,synthetic,42
S020,362.92943378388395,0.5459248612403892,0.39638590726184836,0.016290542008472242,174.10253616553325,299.375953333876,55.23071992058396,140.62174170043102,143.86011288245376,0.013032433606777794,0.9999999999999999,2421.8322761292106,0.0,True,164.7972330053641,198.13220077851986,143.87314531606054,889.0134064872578,1026.0,0.3666481953847164,,synthetic,42
S021,371.23791057152994,0.5499190015261707,0.39578805246017595,0.01296263395281963,176.71705890739312,300.9388867843644,55.59979197512514,140.73964898279428,146.9315296244908,0.010370107162255705,1.0,2417.6543547556603,0.0,True,167.08712946137234,204.1507811101576,146.94189973165305,873.4615818185247,1026.0,0.3655654002841528,,synthetic,42
S022,364.4091492696338,0.5286997719419145,0.39638590726184836,0.013965563102624035,179.41028179540268,300.9964707385496,55.64413599266223,141.80670607527324,144.44665124776213,0.011172450482099229,1.0,2421.501312949137,0.0,True,171.74611515723132,192.6630341124025,144.45782369824423,886.6203744181561,1026.0,0.3662749140533315,,synthetic,42
S023,371.23791057152994,0.5311392084711901,0.39543183160000595,0.012856488088114472,181.88039507831184,302.40978962097523,56.01824056752765,141.58161909675417,146.79928693665929,0.010285190470491578,1.0,2418.37841310351,0.0,True,174.05890059606907,197.17900997546087,146.80957212712977,874.3180739167624,1026.0,0.3652374821718209,,synthetic,42
S024,391.1680232913343,0.5489164384758753,0.39572228972065665,0.019261606759738127,185.8482141600618,305.36677281871295,56.51828477506916,142.73075538696662,154.79390584234997,0.015409285407790503,1.0,2407.0641539622375,0.0,True,176.44946510060683,214.71855819072746,154.80931512775777,835.0675539363856,1026.0,0.3673725016133737,,synthetic,42
S025,388.97366573848694,0.5264622938396444,0.39571807627497096,0.007020305154870222,191.3387025900158,306.69606481437893,56.88137814474711,143.87355950571452,153.92391072765764,0.0056162441238961774,1.0,2408.900060576744,0.0,True,184.193697430588,204.77996830789894,153.92952697178154,839.9898475613206,1026.0,0.36910337416167044,,synthetic,42
S026,412.5285948092237,0.5489164384758753,0.39572228972065665,0.019261606759738127,195.33853714218932,310.0259987934896,57.47951049337418,144.86681253875557,163.246760113151,0.015409285407790503,1.0,2395.657163829045,0.0,True,186.08486777708714,226.44372703213656,163.2621693985588,793.8471380145029,1026.0,0.37295954218751437,,synthetic,42
S027,384.63373623386843,0.5017608012642246,0.39077510546244343,0.027085812874703387,196.3986940697291,308.1312508749142,57.75318162763389,140.93718119817603,150.30528884120358,0.021668650299762712,1.0,2414.9908474986155,0.0,True,191.63960454791018,192.99413168595825,150.32695749150335,854.0030679603688,1026.0,0.36489615135403414,compromise,synthetic,42
S028,412.27976143211504,0.5264622938396444,0.39571821862166495,0.019051066071860218,202.08181242597567,311.88408195881624,57.918095198687084,146.186236811057,163.14661276768157,0.015240852857488175,0.9999999999999999,2396.4646721826684,0.0,True,195.2300125249024,217.04974890721263,163.16185362053906,795.0040060639426,1026.0,0.3777021255253566,,synthetic,42
S029,385.04104218152065,0.4717364891027482,0.3885980720375692,0.022612701742439047,205.1633892717675,310.81003834610397,58.63772042983431,141.04445344942886,149.62620664707526,0.018090161393951237,0.9999999999999999,2417.0097870899544,0.0,True,203.40313278234692,181.6379093991737,149.64429680846922,856.3018353982224,1026.0,0.36813836582231485,,synthetic,42
S030,384.63373623386843,0.448621151648659,0.39077510546244343,0.027085812874703387,211.53118915461533,312.352520506694,58.8159746199452,144.12556017510997,150.30528884120358,0.021668650299762712,1.0,2416.473172354405,0.0,True,212.07890652170383,172.5548297121646,150.32695749150335,855.4853928161585,1026.0,0.3760416636376033,,synthetic,42
S031,401.25170387379785,0.4624528186429368,0.39077510546244343,0.027085812874703387,216.04044103401225,315.194553838916,59.287149823856474,144.95745691944626,156.79917689826848,0.021668650299762712,1.0,2407.4528536729536,0.0,True,215.69172243207902,185.55998144171883,156.82084554856826,823.3532184377129,1026.0,0.3835794282791256,,synthetic,42
S032,371.3309217796384,0.3953449553064432,0.3926125979590747,0.00951524371668455,219.26867409192204,313.0909797826368,59.07996265895332,147.488200361262,145.7891979024418,0.00761219497334764,1.0,2423.720825707206,0.0,True,224.5271151047669,146.8038066748715,145.79681009741515,880.583578586436,1026.0,0.38240002729820555,,synthetic,42
S033,410.63051348964643,0.45948798910551847,0.39077510546244343,0.003826812874404565,221.70784178367137,317.67715719880954,59.79177341722119,146.10811615327665,160.4641822150139,0.0030614502995236523,1.0,2402.721135660028,0.0,True,221.95072458092233,188.6797889087241,160.46724366531342,805.6195516921936,1026.0,0.3916086854837776,,synthetic,42
S034,445.4290913681782,0.49000213835151724,0.39571807627497096,0.007020305154870222,229.38370048094072,322.62622290151387,60.15107540784576,151.70671139797128,176.26434315312375,0.0056162441238961774,1.0,2380.021822319499,0.0,True,227.16788411379756,218.26120725438068,176.26995939724765,732.315751248918,1026.0,0.4127984440607506,,synthetic,42
S035,398.56038978181994,0.39169505335652993,0.380507584003453,0.0007876988522612476,235.6020931493328,321.348285448698,61.83961867517059,140.75922143127423,151.65525099535483,0.0006301590818089981,1.0,2417.708685296409,0.0,True,242.4462566404306,156.11413314138932,151.65588115443666,841.4916266613003,1026.0,0.3986779950272625,,synthetic,42
S036,407.4054121648867,0.39169505335652993,0.380507584003453,0.0007876988522612476,240.5631665069796,323.5963455796645,62.23764468240859,141.6437236695809,155.02084909279202,0.0006301590818089981,1.0,2413.308159664673,0.0,True,247.8267275092223,159.57868465566435,155.02147925187384,824.8804805490605,1026.0,0.4090163724190699,,synthetic,42
S037,417.48096240469954,0.39534914990651115,0.3803857235205473,0.002162428075868158,245.08576031495343,325.8536093934934,62.63121091925685,142.33248242040332,158.80379794036602,0.0017299424606945267,0.9999999999999999,2408.265597734466,0.0,True,252.43021881584943,165.0507435888501,158.8055278828267,805.9769450188643,1026.0,0.41943451912365115,,synthetic,42
S038,428.95539834532656,0.3954431885706626,0.3807029759011507,0.0016137926008131503,251.45895331901286,328.72155603709746,63.108158175257756,143.72890855231225,163.30459667892936,0.0012910340806505203,1.0,2402.3299507540605,0.0,True,259.3279078690519,169.62749047627466,163.30588771301,784.0670509031231,1026.0,0.43428562309057706,,synthetic,42
S039,437.0639437266952,0.39545971861806595,0.3807029759011507,0.05910467226822882,255.98366617593325,330.7567994671836,63.41511651406514,144.45253496810378,166.39154403584593,0.04728373781458306,1.0,2398.1592412088185,0.0,True,264.2227595224341,172.84118420426108,166.4388277736605,768.5973650361946,1026.0,0.4454849231045546,,synthetic,42
S040,365.46405023238,0.22195381584733603,0.38802583555108383,0.02761889973496537,262.9333190965143,325.09576513072653,62.81606389353668,153.60841616366247,141.80949345530252,0.022095119787972295,1.0,2434.078642452449,0.0,True,284.34790972828074,81.11614050409923,141.83158857509048,900.7553847452436,1026.0,0.43779431298088145,,synthetic,42
S041,401.3448340498248,0.2933904202072778,0.37422679540900483,0.5692514921228111,266.4520834768469,330.62246848816346,64.10652076905465,141.05861728156546,150.19399110042477,0.45540119369824894,1.0,2422.046196797481,0.0,True,283.5941045399265,117.75072950989826,150.649392294123,843.4827189614103,1026.0,0.45350988678548215,,synthetic,42
S042,388.061205764075,0.2530500511351473,0.3783922608774888,0.011028031884016826,269.5581686448887,329.98090613759626,64.38365025097315,146.32038416246365,146.83935700791272,0.00882242550721346,1.0,2428.1651959887704,0.0,True,289.86229780190894,98.19890796216609,146.84817943341994,867.2447827593917,1026.0,0.45335836708512073,,synthetic,42
S043,388.061205764075,0.23182850609928457,0.3783922608774888,0.011028031884016826,275.6552460664397,331.6817101106244,64.80808115169039,147.59367686461542,146.83935700791272,0.00882242550721346,1.0,2428.7624437895424,0.0,True,298.0975561567024,89.96364960737259,146.84817943341994,867.8420305601636,1026.0,0.4655149538426616,,synthetic,42
S044,387.91264713290644,0.22006073780184982,0.3702123132954974,0.0007558519319471966,278.9741027811224,333.3289608469539,66.02862090041279,141.75633730367966,143.6100384516533,0.0006046815455577573,1.0,2434.424246373583,0.0,True,302.54830380217044,85.36434333073602,143.61064313319886,876.900200255546,1026.0,0.4692322513446303,,synthetic,42
S045,392.00428756885054,0.21315240826874682,0.3691824402841352,0.015320587130324137,283.8008758956464,335.17334606425885,66.4599243123851,141.73425560737294,144.72109948651214,0.01225646970425931,1.0,2433.3383108919297,0.0,True,308.4476296218757,83.55665794697487,144.7333559562164,870.5853467797324,1026.0,0.48102475750115914,,synthetic,42
S046,392.00428756885054,0.21315240826874682,0.36918338982634924,0.2926159333859065,283.8230173381285,335.0888870468983,66.1799533401414,141.3190722217608,144.72147171113127,0.23409274670872524,1.0,2432.704641716005,0.0,True,308.4476296218757,83.55665794697487,144.95556445783998,869.4521737559281,1026.0,0.4822317077193642,,synthetic,42
S047,384.88049736526295,0.16280444703752583,0.36799489234638694,0.052231775774265965,293.21806664474633,337.1791772698587,67.2518327385936,143.0373491277229,141.6340571941538,0.041785420619412775,1.0,2438.7323786451175,0.0,True,322.2202408161834,62.660256549079556,141.67584261477322,886.123806889307,1026.0,0.49871353978616256,,synthetic,42
S048,386.3130724638254,0.14573692196164065,0.3662182195020151,0.006054697746254851,299.1512590523642,339.15192348174105,67.91710768387033,142.85258548367682,141.47488556805507,0.004843758197003881,1.0,2439.7890861494125,0.0,True,330.01299436940326,56.30007809442215,141.47972932625208,885.9902296615888,1026.0,0.5123549043769755,,synthetic,42
